id,username,counter,from_messages,channel_request,channel_req_targeted_by,source
1200851498,Jack_Posobiec,380,379,1,{'channels': ['self']},"['Jack_Posobiec', 'NationalPulse', 'TrumpChannel']"
1136479756,police_frequency,8,8,0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpChannel']"
1228946795,HiddenSender,111,111,0,{'channels': ['self']},"['Jack_Posobiec', 'JamesOKeefeIII']"
1391253363,realKarliBonne,229,229,0,{'channels': ['self']},"['Jack_Posobiec', 'NationalPulse']"
1150424885,Patri0tsareinContr0l,5,5,0,{'channels': ['self']},['Jack_Posobiec']
1392459919,grandoldmemes,124,124,0,{'channels': ['self']},['Jack_Posobiec']
1531569003,raweggnationalistofficial,51,51,0,{'channels': ['self']},"['Jack_Posobiec', 'NationalPulse']"
1754714046,CultureWarRoom,144,144,0,{'channels': ['self']},"['Jack_Posobiec', 'RealRebelNews']"
1445593024,THEREALTORIABROOKE,10,10,0,{'channels': ['self']},['Jack_Posobiec']
1390659157,PepeMatter,10,10,0,{'channels': ['self']},['Jack_Posobiec']
1279779603,WokeSocieties,9,9,0,{'channels': ['self']},['Jack_Posobiec']
1758387125,wokesocietieschats,1,0,1,{'channels': ['WokeSocieties']},['Jack_Posobiec']
1529958951,realKariLake,2,2,0,{'channels': ['self']},['Jack_Posobiec']
1984053449,karilakechatAZ,1,0,1,{'channels': ['realKariLake']},['Jack_Posobiec']
1179270258,disclosetv,57,57,0,{'channels': ['self']},['Jack_Posobiec']
1448934279,disclosetv_chat,1,0,1,{'channels': ['disclosetv']},['Jack_Posobiec']
1410273150,TheStormHasArrived17,6,6,0,{'channels': ['self']},"['Jack_Posobiec', 'RealRebelNews']"
1697410513,RWApodcast,10,10,0,{'channels': ['self']},['Jack_Posobiec']
1408963933,gatewaypunditofficial,8,8,0,{'channels': ['self']},['Jack_Posobiec']
1177375464,arktosmedia,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1974494664,Trump_History,30,30,0,{'channels': ['self']},['Jack_Posobiec']
1484471145,nattylightnat,5,5,0,{'channels': ['self']},['Jack_Posobiec']
1211378130,BannonWarRoom,28,28,0,{'channels': ['self']},"['Jack_Posobiec', 'RaheemKassam', 'NationalPulse', 'TrumpChannel']"
1412053777,CharlieKirk,48,48,0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpChannel', 'TrumpJr']"
1209438364,LaurenWitzkeOfficial,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1154985723,demacre,2,2,0,{'channels': ['self']},['Jack_Posobiec']
1542220963,rejectm0dernity,18,18,0,{'channels': ['self']},['Jack_Posobiec']
1312540859,oldrowswig,25,25,0,{'channels': ['self']},['Jack_Posobiec']
1913964419,DeusRexMundi,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1401460680,MiloClinic,33,33,0,{'channels': ['self']},['Jack_Posobiec']
1845303406,milo_chat,1,0,1,{'channels': ['MiloClinic']},['Jack_Posobiec']
1189442596,SignaltoNoiseChannel,3,3,0,{'channels': ['self']},['Jack_Posobiec']
1733813417,ClubSubT,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1653562191,UnderwaterLair,3,3,0,{'channels': ['self']},['Jack_Posobiec']
1479163323,TommyRobinsonNews,26,26,0,{'channels': ['self']},"['Jack_Posobiec', 'RealRebelNews']"
1299528948,tommy_robinson_chat,1,0,1,{'channels': ['TommyRobinsonNews']},['Jack_Posobiec']
1292587807,NatalieWinters,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1445249867,TuckerFans,18,18,0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpChannel']"
1464373947,BennyJohnson,21,21,0,{'channels': ['self']},"['Jack_Posobiec', 'JamesOKeefeIII', 'TrumpChannel']"
1205299143,ThePatriotAU,7,7,0,{'channels': ['self']},['Jack_Posobiec']
1187440417,PatriotAUchat,1,0,1,{'channels': ['ThePatriotAU']},['Jack_Posobiec']
1301381155,realgrrrgraphics,6,6,0,{'channels': ['self']},['Jack_Posobiec']
1301651802,candlesinthenight,2,2,0,{'channels': ['self']},['Jack_Posobiec']
1318801077,ThePostMillennial,21,21,0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpChannel']"
1893512843,EvaVlaardingerbroek,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1912185447,RareTrumps,7,7,0,{'channels': ['self']},['Jack_Posobiec']
1544053508,SunflowerSociety,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1496043828,ScottPresler,5,5,0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpChannel']"
1459279278,pjwnews,2,2,0,{'channels': ['self']},['Jack_Posobiec']
1358262728,MichaelJLindell,10,10,0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpChannel']"
1323996551,MikeLindellChat,1,0,1,{'channels': ['MichaelJLindell']},['Jack_Posobiec']
1331507956,CognitiveCarbonPublic,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1266711647,RaheemKassam,47,46,1,{'channels': ['self']},"['Jack_Posobiec', 'RaheemKassam', 'NationalPulse', 'TrumpChannel']"
1414430173,RaheemKassamChat,6,4,2,{'channels': ['RaheemKassam']},"['Jack_Posobiec', 'RaheemKassam']"
1124034561,onlyfighting,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1786864843,onlyfightingchat,1,0,1,{'channels': ['onlyfighting']},['Jack_Posobiec']
1225790696,RealVincentJames,2,2,0,{'channels': ['self']},['Jack_Posobiec']
1349618580,Lefty_Crypto,5,5,0,{'channels': ['self']},['Jack_Posobiec']
1778171385,PrayingMedicNews,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1676275372,DDGeopolitics,17,17,0,{'channels': ['self']},['Jack_Posobiec']
1903186953,MVNWire,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1930521125,resistornewswireukchat,1,0,1,{'channels': ['MVNWire']},['Jack_Posobiec']
1427137833,TPUSA,2,2,0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpJr']"
1310984791,intelslava,32,32,0,{'channels': ['self']},['Jack_Posobiec']
1453677131,KanekoaTheGreat,4,4,0,{'channels': ['self']},['Jack_Posobiec']
1321032251,KanekoaChat,1,0,1,{'channels': ['KanekoaTheGreat']},['Jack_Posobiec']
1865515101,southfirstresponders,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1655590279,josiah_lippincott,2,2,0,{'channels': ['self']},['Jack_Posobiec']
1891165770,TheMediterraneanMan,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1732999829,antinatocoalition,3,3,0,{'channels': ['self']},['Jack_Posobiec']
1643519230,antinatocoalitionchat,1,0,1,{'channels': ['antinatocoalition']},['Jack_Posobiec']
1527322197,ResistanceTrench,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1699275615,ResistanceTrenchGC2,1,0,1,{'channels': ['ResistanceTrench']},['Jack_Posobiec']
1636876924,ottoshitposts,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1641520356,UkraineHumanRightsAbuses,5,5,0,{'channels': ['self']},['Jack_Posobiec']
1747193290,Rawsalert,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1601653229,Rawsalertz,1,0,1,{'channels': ['Rawsalert']},['Jack_Posobiec']
1165311094,patriotartsfarm,2,2,0,{'channels': ['self']},['Jack_Posobiec']
1660853432,justicereport,2,2,0,{'channels': ['self']},['Jack_Posobiec']
1396523026,ukraine_watch,2,2,0,{'channels': ['self']},['Jack_Posobiec']
1342732796,thekateawakening,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1315937492,tkachat,1,0,1,{'channels': ['thekateawakening']},['Jack_Posobiec']
1308519094,beckernews,4,4,0,{'channels': ['self']},['Jack_Posobiec']
1727826599,levigodman,4,4,0,{'channels': ['self']},['Jack_Posobiec']
1696504565,levichatx,1,0,1,{'channels': ['levigodman']},['Jack_Posobiec']
1810182217,rnintel,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1597987792,the_Right_People,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1758820844,dotconnectinganons,3,3,0,{'channels': ['self']},['Jack_Posobiec']
1429136166,dotconnectinganonschat,1,0,1,{'channels': ['dotconnectinganons']},['Jack_Posobiec']
1126728483,gavinwax,3,3,0,{'channels': ['self']},['Jack_Posobiec']
1404077180,LizHarrington76,16,16,0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpChannel']"
1483975025,techno_fog,2,2,0,{'channels': ['self']},"['Jack_Posobiec', 'RaheemKassam']"
1358907673,JamesOKeefeIII,36,35,1,{'channels': ['self']},"['Jack_Posobiec', 'RaheemKassam', 'JamesOKeefeIII', 'NationalPulse', 'TrumpChannel']"
1151338081,glennbeck,4,4,0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpChannel']"
1868441246,sageops,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1170161792,JacobAWohl,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1487163901,JacobWohlChat,1,0,1,{'channels': ['JacobAWohl']},['Jack_Posobiec']
1816554154,myLordBebo,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1870427849,beboandfriends,1,0,1,{'channels': ['myLordBebo']},['Jack_Posobiec']
1684266592,Working_Man_Memes,8,8,0,{'channels': ['self']},['Jack_Posobiec']
1824126706,ShadowmansManicMusings,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1701107630,NevsChannel,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1747867172,NevsChat,1,0,1,{'channels': ['NevsChannel']},['Jack_Posobiec']
1849659334,siberianmatryoshka,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1188544652,ungathegreat,5,5,0,{'channels': ['self']},['Jack_Posobiec']
1773327135,ungachat,1,0,1,{'channels': ['ungathegreat']},['Jack_Posobiec']
1579681129,RepMTG,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1229525984,joeldavisx,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1404658297,WitnessMeIAmAwaited,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1405842043,CICParkingLot,1,0,1,{'channels': ['WitnessMeIAmAwaited']},['Jack_Posobiec']
1526041539,TheWorstOfSociety,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1893566243,OKeefeMediaGroup,2,2,0,{'channels': ['self']},['Jack_Posobiec']
1189125688,TheBlazeTV,7,7,0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpChannel']"
1313869882,putingers_cat,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1554854430,putingers_cat_chat,1,0,1,{'channels': ['putingers_cat']},['Jack_Posobiec']
1618921441,cheburashkas_war_room,4,4,0,{'channels': ['self']},['Jack_Posobiec']
1230190290,BronzeAgePalaestra,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1539507134,leatherApronClubTG,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1748794888,France_Riots,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1241986173,QtimeNetwork,2,2,0,{'channels': ['self']},['Jack_Posobiec']
1167566598,QtimeNetworkChat,1,0,1,{'channels': ['QtimeNetwork']},['Jack_Posobiec']
1544708817,missilesnukes,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1161666782,BellumActaNews,3,3,0,{'channels': ['self']},['Jack_Posobiec']
1392160803,breaking911,7,7,0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpChannel']"
1414255764,MurderTheMedia,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1393250978,readovkaworld,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1627480627,CyberspecNews,2,2,0,{'channels': ['self']},['Jack_Posobiec']
1301504542,slightlyoffensive,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1601053024,chiefnerd,5,5,0,{'channels': ['self']},['Jack_Posobiec']
1686210190,chiefnerdchat,1,0,1,{'channels': ['chiefnerd']},['Jack_Posobiec']
1137409088,officialjonmiller,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1361890342,beholdisraelchannel,4,4,0,{'channels': ['self']},['Jack_Posobiec']
1472802395,stone_toss,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1374290756,MattGaetzOfficial,4,4,0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpChannel']"
1228443263,nationalpulse,20,19,1,{'channels': ['self']},"['Jack_Posobiec', 'NationalPulse']"
1267710385,thenationalpulse,2,0,2,{'channels': ['nationalpulse']},"['Jack_Posobiec', 'NationalPulse']"
1481320011,MistyG17,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1784587195,ecclesiamagnifica,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1620420179,Davidscave,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1622961907,leeroypressnyc,6,6,0,{'channels': ['self']},"['Jack_Posobiec', 'RealRebelNews']"
1626824086,Middle_East_Spectator,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1291574327,bennypilled2,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1218257811,Josh_Hawley,4,4,0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpChannel']"
1440826143,keith_woods,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1395659502,RealGenFlynn,3,3,0,{'channels': ['self']},"['Jack_Posobiec', 'JamesOKeefeIII', 'TrumpChannel']"
1412773550,MemeCannons,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1523897653,zerohedge_official,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1652606860,ZeroHedgeChat,1,0,1,{'channels': ['zerohedge_official']},['Jack_Posobiec']
1666040029,NabrezhnyeIntel,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1369047939,Richardcitizenjournalists,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1268367825,Richardpotcnerchat,1,0,1,{'channels': ['Richardcitizenjournalists']},['Jack_Posobiec']
1328224801,anon_fa_mous,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1439023556,anonfamouschat,1,0,1,{'channels': ['anon_fa_mous']},['Jack_Posobiec']
1522046510,VigilantFox,16,16,0,{'channels': ['self']},['Jack_Posobiec']
1611294208,VigilantFoxChat,1,0,1,{'channels': ['VigilantFox']},['Jack_Posobiec']
1718319635,catholictower,4,4,0,{'channels': ['self']},['Jack_Posobiec']
1206753742,uxwastaken,2,2,0,{'channels': ['self']},['Jack_Posobiec']
1464363648,classicaltheist,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1444056222,PatriotNews1776,11,11,0,{'channels': ['self']},['Jack_Posobiec']
1216464646,thedurancom,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1567057396,Durancomments,1,0,1,{'channels': ['thedurancom']},['Jack_Posobiec']
1400113416,bsbtidewater,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1597211510,crabcakespec,1,0,1,{'channels': ['bsbtidewater']},['Jack_Posobiec']
1667203101,wyattreed13,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1273771484,BrittRepublican,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1395087207,BrittRepublican_CHAT,1,0,1,{'channels': ['BrittRepublican']},['Jack_Posobiec']
1289043648,somebitchiknow,1,1,0,{'channels': ['self']},['Jack_Posobiec']
1284210553,somebitchiknowchat,1,0,1,{'channels': ['somebitchiknow']},['Jack_Posobiec']
